Public_Food_Key,foodName,calories,protein,fat,transFat,carbohydrates,sugar,dietaryFiber,cholesterol,sodium,calcium,iron,vitaminC
F005946,"Mushroom, common, fresh, raw",87,2.2,0.4,1.1,1.3,0,1.4,0,9,3,0.45,0
F005945,"Mushroom, common, fresh, fried, no added fat",156,4,0.7,,2.3,0,2.5,0,15,5,0.8,0
F005949,"Mushroom, common, vitamin D enhanced, fresh, raw",87,2.2,0.4,1.1,1.3,0,1.4,0,9,3,0.45,0
F005948,"Mushroom, common, vitamin D enhanced, fresh, fried, no added fat",156,4,0.7,,2.3,0,2.5,0,15,5,0.8,0
F006195,"Okra, raw",112,3.1,0.2,0,1.4,1.4,3.7,0,2,82,1.1,34
F006194,"Okra, cooked, no added fat",120,3.3,0.2,,1.5,1.5,4,0,2,84,1.12,27
F006198,"Olive, green or black, drained",862,2.4,20.5,0,1.8,0,2.3,0,"1,450",52,1.91,1
F006225,"Onion, mature, brown skinned, peeled, raw",139,1.3,0,0,5.8,5.8,2.7,0,8,23,0.24,7
F006224,"Onion, mature, brown skinned, peeled, fresh, fried, no added fat",224,2.1,0,,9.4,9.4,4.4,0,12,37,0.4,10
F006243,"Onion, mature, white skinned, peeled, fresh, raw",128,1.7,0.1,0,4.7,4.7,2.1,0,13,26,0.29,6
F006242,"Onion, mature, white skinned, peeled, fresh, fried, no added fat",203,2.7,0.2,,7.5,7.5,3.3,0,21,41,0.46,8
F009800,"Onion, mature, red skinned, raw",113,0.8,0,0,5.5,5.5,1.4,0,5,19,0.17,5
F009820,"Onion, mature, red skinned, fried, no added fat",183,1.2,0,,8.9,8.9,2.2,0,8,31,0.27,6
F006250,"Onion, spring, fresh, raw",127,1.7,0.2,0,4.6,4.5,1.9,0,13,22,0.5,32
F006249,"Onion, spring, fresh, fried, no added fat",204,2.7,0.3,,7.4,7.2,3.1,0,21,35,0.81,44
F006321,"Parsley, continental, fresh, raw",150,3.9,0.7,0,1.1,1,5,0,150,120,3.9,180
F006322,"Parsley, curly, fresh, raw",96,1.9,0.2,0,0.4,0.4,5.8,0,48,200,9.4,95
F006328,"Parsnip, peeled, fresh, raw",237,1.8,0.2,0,10,4.8,3.6,0,19,38,0.3,12
F006326,"Parsnip, peeled, fresh, baked, no added fat",289,2.2,0.2,,12.2,5.8,4.4,0,23,46,0.36,11
